prod_key,qty,local_acg,local_disc
652383067,5.000,37.000000,18.800000
652383644,5.000,87.700000,47.400000
652383645,5.000,24.900000,9.200000
652383866,2.000,55.280000,55.280000
652384145,4.000,696.280000,653.880000
652384169,1.000,15.400000,6.340000
652384452,4.000,111.400000,41.400000
652384457,2.000,24.280000,2.540000
652384458,3.000,233.940000,71.610000
652384459,2.000,106.040000,27.080000
652384554,2.000,88.580000,88.580000
652385210,5.000,168.750000,62.500000
652385233,2.000,105.460000,105.460000
652385528,5.000,30.350000,17.550000
652385530,5.000,35.050000,19.850000
652385595,6.000,67.800000,67.800000
652385792,2.000,120.120000,112.800000
652385943,1.000,64.280000,41.220000
652386587,5.000,194.900000,63.500000
652387456,4.000,114.240000,35.680000
652387458,2.000,48.560000,13.540000
652387459,2.000,32.120000,15.460000
652387810,2.000,19.560000,19.560000
7472287,1.000,22.980000,18.600000
7472482,2.000,22.220000,20.100000
7472560,1.000,40.200000,40.200000
7472564,1.000,20.000000,17.280000
7472571,1.000,13.000000,11.230000
7473240,2.000,311.060000,283.620000
7473377,0.500,25.300000,17.850000
7473378,1.000,41.810000,29.500000
7473550,3.000,116.490000,90.870000
7473686,1.000,1.000000,1.000000
7474067,5.000,189.000000,189.000000
7474093,1.000,76.950000,76.950000
7474095,1.000,69.830000,69.830000
7474209,1.000,10.240000,10.240000
7474231,10.000,50.000000,1.500000
7474246,0.500,18.000000,15.540000
7474252,5.000,169.200000,71.850000
7475003,0.167,8.694020,4.928170
7475035,2.000,37.940000,24.340000
7475720,1.000,76.500000,70.550000
7475722,1.000,49.980000,46.090000
7475929,5.000,272.500000,247.200000
7476398,3.000,14.190000,9.390000
7476414,2.000,70.200000,70.200000
7476951,3.857,83.426910,79.261350
7476988,1.000,43.860000,40.450000
7477210,1.000,20.000000,15.600000
7477219,3.000,304.410000,260.780000
7477235,5.000,234.900000,199.650000
7477241,1.000,29.480000,22.590000
7477261,2.000,29.940000,23.480000
7477347,1.000,362.170000,333.050000
7478232,3.000,183.000000,140.910000
7478306,3.000,329.420000,327.770000
7478420,1.000,14.870000,14.870000
7478531,1.000,36.160000,26.400000
7478553,1.000,20.700000,20.700000
7478557,2.000,24.340000,24.340000
7478702,0.300,2.154000,0.819000
7478858,5.000,126.250000,114.550000
7478893,4.000,244.080000,207.160000
7478934,0.667,6.349840,3.174920
7479002,1.000,28.590000,24.300000
7479008,2.000,80.140000,37.560000
7479085,2.000,39.380000,32.880000
7479208,1.000,16.210000,15.560000
7479336,1.000,49.000000,38.710000
7479339,4.000,244.000000,189.710000
7479453,4.000,240.720000,222.000000
7479499,5.000,45.850000,23.100000
7479538,2.000,60.480000,35.700000
7479583,3.000,79.500000,62.260000
7479602,3.000,168.300000,155.220000
7479713,2.857,136.393180,116.565600
7479830,1.000,29.700000,29.700000
7480039,3.000,174.660000,174.660000
7480089,2.000,9.980000,8.620000
7480090,1.000,8.380000,7.600000
7480091,1.000,15.660000,14.210000
7480094,3.000,260.580000,260.580000
7480270,3.000,0.000000,0.000000
7481838,1.000,68.800000,68.800000
7482544,3.000,67.500000,67.500000
7484847,4.000,78.840000,78.840000
7485896,1.600,196.944000,196.944000
7487894,2.000,48.000000,48.000000
7488658,3.000,57.210000,57.210000
7490353,1.000,5.580000,5.580000
7490715,1.000,4.780000,4.780000
7490717,4.000,21.440000,21.440000
7490977,6.000,35.700000,35.700000
7491101,3.000,11.820000,11.820000
7491221,3.000,77.010000,65.560000
7491289,1.000,4.110000,4.110000
7491712,1.000,4.920000,4.920000
7491825,4.000,161.500000,161.500000
7491895,1.000,38.000000,34.200000
7491904,1.000,56.360000,56.360000
7492606,1.000,16.500000,16.010000
7492654,2.000,70.380000,64.910000
7492655,2.000,73.440000,67.730000
7492656,2.000,66.300000,61.140000
7492657,2.000,65.280000,60.200000
7492660,2.000,99.960000,92.180000
7492828,1.000,22.280000,22.280000
7493340,3.000,174.060000,89.790000
7493352,4.000,129.800000,110.960000
7493370,2.857,27.181170,25.707130
7493645,8.000,52.000000,33.440000
7493675,1.000,69.250000,62.330000
7494038,5.000,300.900000,277.500000
7494224,2.000,84.920000,61.100000
7494267,3.000,201.150000,201.150000
7494269,1.000,61.200000,61.200000
7494270,1.000,74.580000,74.580000
7494271,1.000,61.200000,61.200000
7494272,1.000,74.580000,74.580000
7494331,1.000,17.710000,14.210000
7494556,1.000,8.060000,6.030000
7494561,1.000,7.120000,5.330000
7494563,1.000,8.740000,6.530000
7494666,4.000,282.540000,260.550000
7494961,3.000,570.000000,421.800000
7494962,2.000,177.000000,130.980000
7495137,4.000,198.000000,198.000000
7495196,4.000,216.000000,192.240000
7495253,1.000,12.500000,12.500000
7495292,2.000,33.300000,33.300000
7495398,3.000,16.320000,16.320000
7495518,1.000,85.500000,85.500000
7495752,1.000,20.000000,18.700000
7495873,5.000,97.200000,89.300000
7495920,1.000,5.110000,5.110000
7495997,1.000,9.500000,6.510000
7496000,1.000,41.100000,36.580000
7496033,1.000,30.900000,26.410000
7496059,0.834,34.919580,31.199940
7500163,1.000,24.840000,18.030000
7500305,1.000,15.300000,14.110000
7500754,1.000,312.650000,312.650000
7500876,0.200,3.736000,2.690000
7500877,2.000,82.000000,73.800000
7501224,9.000,225.000000,193.500000
7501267,1.000,11.000000,11.000000
7501276,1.000,26.330000,26.330000
7501309,2.000,91.820000,91.820000
7501311,10.000,14.900000,14.900000
7501744,1.500,39.750000,36.960000
